Canonical_PostEra_ID,suspected_SMILES,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class,Semiquant
BEN-DND-4f474d93-2,[H][C@]1(C(=O)Nc2cncc3ccncc23)CCOc2ccc(Cl)cc21,> 7.46,,,0.289,2.3,Weak
BEN-DND-61647d40-12,"ClC1=CC=CC(NC(=O)CN2N=NC3=CC=CC=C23)=C1 |c:3,11,15,20,t:1,13,17|",> 99.5,,,0.239,2.3,Weak
BEN-DND-61647d40-13,O=C(Cn1cnc2ccccc21)Nc1cccc(Cl)c1,87.2,73.3,104,0.959,2.1,Quant
BEN-DND-6de5dfa0-1,CCC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1,> 99.5,,,,,Weak
BEN-DND-6de5dfa0-2,Cc1ccncc1NC(=O)CN1CCN(CC1)C(=O)c1ccccc1,> 99.5,,,,,Weak
BEN-DND-6de5dfa0-3,Cc1ccncc1NC(=O)CN1CCN(CC1)S(C)(=O)=O,> 99.5,,,1.91,2.3,Weak
BEN-DND-6de5dfa0-4,Cc1ccncc1NC(=O)CN1CCNC(=O)C1,> 99.5,,,,,Weak
BEN-DND-6de5dfa0-7,CCOC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1,> 99.5,,,,,Weak
BEN-DND-7e92b6ca-10,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(Cc2ccccc2)CC1,8.76,7.96,9.64,1.12,1.1,Quant
BEN-DND-7e92b6ca-11,COc1ccc(N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)cc1,14.7,13.8,15.6,1.14,1.1,Quant
BEN-DND-7e92b6ca-12,COc1cccc(N2CCN(C(=O)c3cc(O)nc4ccccc34)CC2)c1,7.55,7.18,7.93,1.06,1.1,Quant
BEN-DND-7e92b6ca-13,COc1ccccc1N1CCN(C(=O)c2cc(O)nc3ccccc23)CC1,32.8,30.4,35.3,1.24,2.1,Quant
BEN-DND-7e92b6ca-14,O=C(c1cc(O)nc2ccccc12)N1CCN(c2ccc(F)cc2)CC1,16.5,15.5,17.6,1.15,1.1,Quant
BEN-DND-7e92b6ca-16,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2F)CC1,24.0,22.0,26.1,1.2,2.1,Quant
BEN-DND-7e92b6ca-4,O=C(NCCNc1ccccc1)c1cc(=O)[nH]c2ccccc12,> 99.5,,,0.88,2.3,Weak
BEN-DND-7e92b6ca-5,O=C(NCCOc1ccccc1)c1cc(=O)[nH]c2ccccc12,> 99.5,,,0.697,2.3,Weak
BEN-DND-93268d01-11,Cc1ccncc1NC(=O)CN1CCCCC1,> 99.5,,,1.09,2.3,Weak
BEN-DND-93268d01-6,Cc1ccncc1NC(=O)CCc1cccc(F)c1,58.5,43.5,78.5,0.79,2.1,Quant
BEN-DND-93268d01-8,CC(=O)N1CCN(CC(=O)Nc2cnccc2C)CC1,0.638,0.602,0.676,1.07,1.1,Quant
BEN-DND-93268d01-9,CN1CCN(CC(=O)Nc2cnccc2C)CC1,> 99.5,,,,,Weak
BEN-DND-f2e727cd-1,O=C(Nc1cncc2ccccc12)N1CCOc2ccc(Cl)cc21,11.4,10.1,12.9,1.21,1.1,Quant
CHO-MSK-00c5269a-1,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,2.33,2.00,2.72,0.946,1.1,Quant
CHO-MSK-00c5269a-2,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,1.14,1.06,1.23,1.04,1.1,Quant
CHO-MSK-00c5269a-4,O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1,3.70,3.42,4.00,1.02,1.1,Quant
CHO-MSK-00c5269a-5,O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1,3.65,2.72,4.89,0.657,1.1,Quant
CHO-MSK-6e55470f-14,COc1cc(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)ccc1OC(F)F,> 99.5,,,0.152,2.3,Weak
CHO-MSK-6e55470f-17,CCOC(=O)c1c(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)oc2ccccc12,> 99.5,,,0.634,2.3,Weak
CHO-MSK-6e55470f-19,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2cc(-c3ccc(Cl)cc3)no2)c1,> 99.5,,,0.454,2.3,Weak
CHO-MSK-6e55470f-22,COc1ccc(-c2cc(COc3cc(Cl)cc(CC(=O)Nc4cnccc4C)c3)on2)cc1,81.5,54.1,123,0.624,2.3,Quant
CHO-MSK-6e55470f-24,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2nn(C(=O)OC(C)(C)C)c3ccccc23)c1,> 99.5,,,1.61,2.3,Weak
CHO-MSK-6e55470f-5,Cc1noc(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)n1,23.9,20.2,28.3,1.19,2.1,Quant
CHO-MSK-6e55470f-7,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2nnc(C3CCCCC3)o2)c1,20.6,13.6,31.3,0.694,2.3,Quant
CHR-SOS-7098f804-10,O=C(Nc1cnccc1Cl)c1cc(Cl)ccc1O,24.2,21.4,27.4,1.4,2.1,Quant
CHR-SOS-7098f804-14,O=C(Nc1cccnc1)c1cc(Cl)ccc1-c1ccccc1,39.1,32.2,47.4,1.13,2.1,Quant
DAN-MCD-02570321-1,N#Cc1cccc(NC(=O)[C@@H]2CN(C(=O)CCl)CCN2S(=O)(=O)c2ccsc2)c1,0.416,0.341,0.507,1.35,1.1,Quant
DAN-MCD-0742953f-1,CCOC(=O)c1cccc(NC(=O)[C@@H]2CN(C(=O)CCl)CCN2S(=O)(=O)c2ccsc2)c1,0.459,0.424,0.497,1.53,1.1,Quant
DAN-MCD-0c04f563-1,COc1ccc(NC(=O)[C@@H]2CN(C(=O)CCl)CCN2S(=O)(=O)c2ccsc2)cc1,0.450,0.403,0.503,1.73,1.1,Quant
DAN-MCD-0fb4364c-1,O=C(Nc1ccccn1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,4.77,4.30,5.29,1.38,1.1,Quant
DAN-MCD-1a622181-1,O=C(NCCc1ccccc1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,2.43,1.95,3.02,1.68,1.1,Quant
