Canonical_PostEra_ID,suspected_SMILES,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class,Semiquant
LON-WEI-b2874fec-25,O=C(Nc1cccnc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,1.23,2.1,Weak
LON-WEI-f8a636e2-1,O=C(NCc1cccs1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,0.89,4.0,Weak
LON-WEI-ff7b210a-4,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccccc2Cc2ccccc2)n1,0.540,0.507,0.575,1.65,1.1,Quant
LON-WEI-ff7b210a-5,CCOC(=O)c1nc(S(C)(=O)=O)ncc1Cl,1.60,1.09,2.35,3.32,1.3,Quant
LOR-NEU-c8f11034-5,O=C1C(=O)N(Cc2ccc(Br)cc2)c2ccccc21,> 198,,,1.2,2.3,Weak
LOR-NOR-c954e7ad-1,Cc1nc(CN2C(=O)C(=O)c3cc(Br)ccc32)cs1,> 99.5,,,1.34,4.0,Weak
LOR-NOR-c954e7ad-2,CCCCN1C(=O)C(=O)c2cc(Br)cc(C)c21,> 99.5,,,,,Weak
LOR-NOR-c954e7ad-3,CC(C)CCN1C(=O)C(=O)c2cc(Br)ccc21,> 99.5,,,1.33,4.0,Weak
LOR-NOR-c954e7ad-4,CCc1ccc2c(c1)C(=O)C(=O)N2CC(=O)O,> 99.5,,,,,Weak
LOR-NOR-c954e7ad-5,O=C(O)CN1C(=O)C(=O)c2cc([N+](=O)[O-])ccc21,> 99.5,,,,,Weak
LOR-NOR-c954e7ad-6,O=C1C(=O)N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc21,> 99.5,,,,,Weak
LUO-POS-74179f4f-1,[H][C@@]1(C(=O)Nc2cncc3cc(Cl)ccc23)CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21,0.149,0.130,0.172,1.01,2.1,Quant
LUO-POS-868e8996-1,CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,0.0758,0.0719,0.0799,1.14,2.1,Quant
LUO-POS-868e8996-10,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@]3(CC(=O)N(c4cncc5ccccc45)C3=O)C2)CC1,30.2,22.0,41.4,0.693,2.1,Quant
LUO-POS-868e8996-2,CNC(=O)CN1C[C@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,16.1,12.2,21.2,1.24,1.1,Quant
LUO-POS-868e8996-7,CNC(=O)CN1C[C@]2(CC(=O)N(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,0.123,0.109,0.138,1.1,2.1,Quant
LUO-POS-868e8996-8,CNC(=O)CN1C[C@@]2(CC(=O)N(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,84.6,64.7,110,1.26,2.3,Quant
LUO-POS-868e8996-9,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CC(=O)N(c4cncc5ccccc45)C3=O)C2)CC1,0.0624,0.0562,0.0692,0.932,1.1,Quant
LUO-POS-8c3e556a-1,CNC(=O)CN1C[C@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,< 0.0500,,,1.37,2.1,Strong
LUO-POS-8c3e556a-2,CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,3.10,2.86,3.35,1.13,1.1,Quant
LUO-POS-b4dec3be-1,CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4ccc(F)cc34)C2=O)C1,16.3,15.5,17.1,1.21,1.1,Quant
LUO-POS-b4dec3be-2,CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4ccc(F)cc34)C2=O)C1,0.0858,0.0822,0.0896,1.17,2.1,Quant
LUO-POS-edefcc0e-1,[H][C@]1(C(=O)Nc2cncc3cc(Cl)ccc23)CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21,0.939,0.830,1.06,1.09,1.1,Quant
MAK-UNK-7c9d1431-17,COc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)cc1,27.5,25.2,30.0,1.55,2.1,Quant
MAK-UNK-7c9d1431-9,"ClCC(=O)N1CCN(CC1)S(=O)(=O)C1=CC=CC=C1 |c:16,18,t:14|",1.56,1.46,1.66,1.49,1.1,Quant
MAR-TRE-6a44bbf2-24,Cc1noc(C)c1S(=O)(=O)N1CCN(C(=O)CCl)CC1,4.06,3.76,4.39,1.41,1.1,Quant
MAR-UCB-f313ec4d-2,COc1ccccc1OCCNC(=O)c1cncc2ccccc12,3.24,3.10,3.39,1.07,1.1,Quant
MAR-UCB-f313ec4d-3,COc1ccccc1OCCC(=O)Nc1cncc2ccccc12,93.6,88.5,99.0,2.64,2.1,Quant
MAR-UCB-f313ec4d-4,COc1ccccc1NCCNC(=O)c1cc(=O)[nH]c2ccccc12,> 99.5,,,0.519,2.3,Weak
MAR-UCB-f313ec4d-6,O=C(c1cncc2ccccc12)N1CCN(c2ccccc2)CC1,5.45,5.19,5.72,1.08,1.1,Quant
MAT-POS-044491d2-6,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2(C)CCC(F)(F)CC2)c1,14.7,12.7,17.0,1.21,1.1,Quant
MAT-POS-044491d2-7,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC(C)(C)C#N)c1,36.5,31.4,42.5,1.27,2.1,Quant
MAT-POS-06036648-5,CNc1ccc(N(C(=O)Cn2nnc3ccccc32)c2cccc(Cl)c2)cc1,5.34,2.87,9.93,1.05,1.3,Quant
MAT-POS-0c8fa4a7-1,O=C(Nc1cncc2ccccc12)C1=CCCc2ccc(Cl)cc21,0.233,0.198,0.275,0.92,2.1,Quant
MAT-POS-0c8fa4a7-2,COc1ccc2c(c1)c(N)nn2C(=O)Cc1cccc(Cl)c1,> 99.5,,,0.228,4.0,Weak
MAT-POS-0c8fa4a7-3,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2ccccc12,> 99.5,,,0.866,2.3,Weak
MAT-POS-0c8fa4a7-4,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cccc(F)c12,> 99.5,,,0.322,2.3,Weak
MAT-POS-14ad9fe9-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCCN2,7.27,4.55,11.6,0.937,1.3,Quant
MAT-POS-173a45da-1,O=C(Cc1cncc2ccccc12)N(CCC1CCCCC1)c1cccc(Cl)c1,2.11,1.99,2.24,1.05,1.1,Quant
MAT-POS-173a45da-2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2n[nH]c3ccccc23)c1,> 99.5,,,0.814,2.3,Weak
MAT-POS-199e2e7c-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCC2,5.16,4.86,5.48,1.07,1.1,Quant
MAT-POS-1e0c1c67-1,Cn1nc(-c2ccc(C(F)(F)F)cc2)nc2c(=O)n(C)c(=O)nc1-2,2.40,1.96,2.93,2.13,1.1,Quant
MAT-POS-23a8a11a-1,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1cncc2ccccc12,0.384,0.294,0.502,0.788,1.1,Quant
MAT-POS-24589f88-1,COc1ccc2cncc(NC(=O)[C@@]3(OC)CCOc4ccc(Cl)cc43)c2c1,4.18,3.03,5.78,0.951,1.1,Quant
MAT-POS-24589f88-2,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21,12.3,11.4,13.3,1.09,1.1,Quant
MAT-POS-24589f88-3,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21,0.141,0.136,0.147,1.06,2.1,Quant
MAT-POS-281d2ee9-3,O=C(Cc1cc(Cl)cc(-c2nnn[nH]2)c1)Nc1cncc2ccccc12,21.4,17.6,26.0,0.951,2.1,Quant
MAT-POS-29385cc1-2,COc1cc2cncc(NC(=O)Cc3cccc(Cl)c3)c2cc1F,> 99.5,,,0.421,2.3,Weak
MAT-POS-29385cc1-3,"CC1=CC2=CN=CC(NC(=O)CC3=CC=CC(Cl)=C3)=C2C=C1 |c:5,14,17,19,22,t:1,3,12|",1.24,1.08,1.42,1.07,1.1,Quant
MAT-POS-29385cc1-4,Cc1cc(F)cc2cncc(NC(=O)Cc3cccc(Cl)c3)c12,0.851,0.765,0.946,1.1,1.1,Quant
MAT-POS-2bb0cf2b-1,Cl.Cl.NC[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,82.2,70.7,95.6,1.38,2.1,Quant
MAT-POS-3b536971-1,COc1ccc(Cl)cc1OCCNC(=O)c1cc(=O)[nH]c2cccc(OC)c12,0.874,0.576,1.33,1.2,1.3,Quant
MAT-POS-3b536971-2,COc1cccc2[nH]c(=O)cc(C(=O)N3CCN(c4cccc(Cl)c4)CC3)c12,4.68,4.34,5.05,1.07,1.1,Quant
MAT-POS-3b92565d-1,"COC1=CC=C(Cl)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12 |c:7,16,20,t:2,4,14,18,22|",1.20,1.12,1.29,0.996,1.1,Quant
MAT-POS-3b97339c-2,N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,0.473,0.436,0.513,1.28,1.1,Quant
MAT-POS-3ccb8ef6-1,Cl.Cl.[H][C@@]1(C(=O)Nc2cncc3ccccc23)CNCc2ccc(Cl)cc21,0.288,0.273,0.304,1.02,1.1,Quant
MAT-POS-3ccb8ef6-2,Cl.Cl.[H][C@]1(C(=O)Nc2cncc3ccccc23)CNCc2ccc(Cl)cc21,33.0,29.5,36.8,1.1,2.1,Quant
MAT-POS-4211dce8-1,Cn1cc(NC(=O)Cc2cccc(Cl)c2)c2ccccc2c1=O,> 99.5,,,,,Weak
MAT-POS-53907a1c-1,COc1ccc2c(N)nn(C(=O)Cc3cccc(Cl)c3)c2c1,> 99.5,,,0.823,2.3,Weak
MAT-POS-53907a1c-2,Cc1ccncc1NC(=O)N(CCC1CCCCC1)c1cc(Cl)cc(OC(C)C)c1,24.6,16.5,36.5,0.596,2.3,Quant
MAT-POS-54c4bf04-3,O=C(c1cncc2ccccc12)N1CCN(c2cccc(Cl)c2)CC1,1.60,1.51,1.71,1.07,1.1,Quant
MAT-POS-590ac91e-16,Cc1ccncc1NC(=O)[C@H](C)OC(F)F |o1:10|,> 99.5,,,,,Weak
MAT-POS-590ac91e-32,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cc(F)ccc12,> 99.5,,,0.618,2.3,Weak
MAT-POS-590ac91e-46,CC1(C)Cc2cccc(OCCNC(=O)c3cc(=O)[nH]c4cc(F)ccc34)c2O1,> 99.5,,,0.713,2.3,Weak
MAT-POS-590ac91e-63,Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4cc(F)ccc34)CC2)c(C)c1,> 99.5,,,0.876,2.3,Weak
MAT-POS-6344a35d-1,COc1cccc(Oc2cc(Cl)cc(NC(=O)Cc3cncc4ccccc34)c2)n1,3.78,2.96,4.83,1.14,1.1,Quant
MAT-POS-6c284e65-1,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)nc1,0.287,0.258,0.319,1.16,1.1,Quant
MAT-POS-7174c657-1,CNS(=O)(=O)c1cc(CNC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)ccc1F,1.22,1.11,1.34,1.12,1.1,Quant
MAT-POS-7174c657-4,NS(=O)(=O)c1ccc(CNC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cc1F,1.80,1.63,1.98,1.11,1.1,Quant
MAT-POS-7174c657-5,"O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1 |o1:3,o2:24,27|",1.58,1.43,1.76,1.24,1.1,Quant
MAT-POS-7174c657-6,"O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1 |o1:3,o2:24,27|",0.419,0.393,0.447,1.06,1.1,Quant
MAT-POS-777f5926-1,"C[C@@H]1NC(=O)c2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12 |&1:1,12|",0.454,0.399,0.516,1.1,1.1,Quant
MAT-POS-777f5926-2,O=C(Nc1cncc2ccccc12)[C@@H]1CN([C@@H]2CCNC2=O)Cc2ccc(Cl)cc21,4.09,3.36,4.98,1.07,1.1,Quant
MAT-POS-777f5926-3,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CNC2)Cc2ccc(Cl)cc21,1.62,1.31,2.00,1.14,1.1,Quant
MAT-POS-777f5926-4,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CNC2)Cc2ccc(Cl)cc21,0.0849,0.0718,0.100,1.0,1.1,Quant
MAT-POS-7ed7af85-1,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,2.67E-03,2.48E-03,2.87E-03,1.22,1.1,Quant
MAT-POS-806462de-1,C[C@]1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,2.53,2.38,2.69,0.97,1.1,Quant
MAT-POS-806462de-2,C[C@@]1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,0.0968,0.0902,0.104,0.938,2.1,Quant
MAT-POS-8293a91a-4,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(CC(=O)NC)Cc2ccc(Cl)cc21,10.6,9.12,12.3,0.997,1.1,Quant
MAT-POS-8293a91a-5,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(CC(=O)NC)Cc2ccc(Cl)cc21,0.0913,0.0872,0.0956,1.05,1.1,Quant
MAT-POS-865c3497-1,O=C(O)C(F)(F)F.[H][C@@]1(C(=O)Nc2cncc3ccccc23)CNC(=O)c2ccc(Cl)cc21,0.185,0.166,0.207,1.13,2.1,Quant
MAT-POS-865c3497-2,O=C(O)C(F)(F)F.[H][C@]1(C(=O)Nc2cncc3ccccc23)CNC(=O)c2ccc(Cl)cc21,99.3,73.6,134,1.5,2.3,Quant
MAT-POS-8695a11f-1,O=C1N(c2cncc3ccccc23)CC[C@@]1(O)c1cccc(Cl)c1,90.7,73.2,112,1.35,2.1,Quant
MAT-POS-8695a11f-3,O=C1N(c2cncc3ccccc23)CC[C@]1(O)c1cccc(Cl)c1,0.738,0.619,0.878,1.29,1.1,Quant
MAT-POS-86c60949-1,[H][C@]1(C(=O)Nc2cncc3cc(F)ccc23)CCS(=O)(=O)c2ccc(Cl)cc21,24.5,19.1,31.5,0.948,2.1,Quant
MAT-POS-8a69d52e-2,"C[C@@H]1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1 |o1:1,3|",0.679,0.560,0.824,0.967,1.1,Quant
MAT-POS-8a69d52e-3,"C[C@H]1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1 |o1:1,3|",52.1,24.1,113,0.658,2.3,Quant
MAT-POS-8a69d52e-5,C[C@H]1COc2ccc(Cl)cc2[C@H]1C(=O)Nc1cncc2ccccc12 |o1:1|,> 99.5,,,0.269,3.0,Weak
MAT-POS-8a69d52e-6,C[C@@H]1COc2ccc(Cl)cc2[C@H]1C(=O)Nc1cncc2ccccc12 |o1:1|,> 99.5,,,0.399,2.3,Weak
MAT-POS-8a69d52e-7,C[C@@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12,1.71,1.00,2.92,0.829,1.3,Quant
MAT-POS-8e4737f4-1,C[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,19.5,17.6,21.5,1.09,2.1,Quant
MAT-POS-8e4737f4-2,O=C(Nc1cncc2ccccc12)[C@H]1COc2ccc(Cl)cc2C1 |o1:13|,> 99.5,,,0.204,2.3,Weak
MAT-POS-8fd29122-1,COc1ccccc1OCCNC(=O)c1cc(O)ccn1,> 99.5,,,0.559,3.0,Weak
MAT-POS-8fd29122-2,O=C(c1cc(O)ccn1)N1CCN(c2cccc(Cl)c2)CC1,> 99.5,,,1.08,2.1,Weak
MAT-POS-90fd5f68-1,NC(=O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,1.59,1.43,1.76,1.07,1.1,Quant
MAT-POS-90fd5f68-10,CN(c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1)S(C)(=O)=O,2.70,1.96,3.71,1.18,1.1,Quant
MAT-POS-90fd5f68-12,CS(=O)(=O)Nc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,0.882,0.739,1.05,0.988,1.1,Quant
MAT-POS-90fd5f68-13,CN(C)CCOc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,2.83,2.45,3.27,1.14,1.1,Quant
MAT-POS-90fd5f68-14,O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(OCCN3CCCC3)ccc12,2.15,2.04,2.27,1.16,1.1,Quant
MAT-POS-90fd5f68-19,NC(=O)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,1.10,1.05,1.16,1.05,1.1,Quant
MAT-POS-90fd5f68-2,CNC(=O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,1.69,1.59,1.80,1.32,1.1,Quant
MAT-POS-90fd5f68-20,CNC(=O)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,0.899,0.850,0.952,1.25,1.1,Quant
MAT-POS-90fd5f68-21,CN(C)C(=O)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,3.35,3.12,3.58,1.12,1.1,Quant
MAT-POS-90fd5f68-22,CC(=O)Nc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,0.398,0.381,0.416,1.09,1.1,Quant
MAT-POS-90fd5f68-23,O=C(Cc1cccc(Cl)c1)Nc1cncc2ccc(OCC(F)(F)F)cc12,1.09,0.994,1.20,1.1,1.1,Quant
MAT-POS-90fd5f68-28,CN(c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1)S(C)(=O)=O,3.01,2.83,3.21,1.2,1.1,Quant
MAT-POS-90fd5f68-3,CN(C)C(=O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,2.44,2.28,2.61,1.03,1.1,Quant
MAT-POS-90fd5f68-31,CN(C)CCOc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,0.892,0.737,1.08,1.19,1.1,Quant
MAT-POS-90fd5f68-32,O=C(Cc1cccc(Cl)c1)Nc1cncc2ccc(OCCN3CCCC3)cc12,1.13,0.909,1.40,1.02,1.1,Quant
MAT-POS-90fd5f68-37,O=C(Cc1cccc(Cl)c1)Nc1cncc2ccc(C(=O)O)cc12,1.63,1.54,1.73,1.23,1.1,Quant
MAT-POS-90fd5f68-38,O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(C(=O)O)ccc12,3.81,3.34,4.35,1.32,1.1,Quant
MAT-POS-90fd5f68-39,COCc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,2.21,1.81,2.69,1.13,1.1,Quant
MAT-POS-90fd5f68-4,CC(=O)Nc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,0.392,0.364,0.423,1.0,1.1,Quant
MAT-POS-90fd5f68-5,O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(OCC(F)(F)F)ccc12,> 99.5,,,0.294,2.3,Weak
MAT-POS-90fd5f68-7,CN(C)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,6.78,5.89,7.80,1.13,1.1,Quant
MAT-POS-916a2c5a-2,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,1.1,Quant
MAT-POS-916a2c5a-3,"CC1=CC(C)=C(C)C(=C1C)S(=O)(=O)N1CCN(CC1)C(=O)C1=CC(=O)NC2=CC=CC=C12 |c:7,30,t:1,4,23,28,32|",8.19,7.69,8.73,1.05,1.1,Quant
MAT-POS-916a2c5a-4,"O=C(N1CCN(CC1)C1=CC=CC=C1)C1=CC(=O)NC2=CC=CC=C12 |c:11,13,23,t:9,16,21,25|",27.5,23.4,32.4,1.0,2.1,Quant
MAT-POS-932d1078-2,CO[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2c(F)cc(F)cc21,26.4,23.6,29.5,1.11,2.1,Quant
MAT-POS-932d1078-3,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2c(F)cc(F)cc21,0.143,0.137,0.149,1.03,1.1,Quant
MAT-POS-932d1078-4,COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(Cl)c(Cl)cc21,2.38,2.22,2.55,1.02,1.1,Quant
MAT-POS-932d1078-5,COC[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(Cl)c(Cl)cc21,13.0,11.9,14.3,1.02,1.1,Quant
MAT-POS-932d1078-6,CCC(CC)COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,> 99.5,,,0.81,2.3,Weak
MAT-POS-932d1078-7,CC(C)C(=O)OC[C@H]1O[C@@H](n2cc/c(=N/O)[nH]c2=O)[C@H](O)[C@@H]1O,> 99.5,,,0.146,2.3,Weak
MAT-POS-993cdc78-1,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21,0.124,0.121,0.128,1.01,2.1,Quant
MAT-POS-993cdc78-2,CO[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21,69.3,56.2,85.3,1.15,2.1,Quant
MAT-POS-9db1e783-1,O=C(Nc1cncc2ccccc12)[C@@]1(O)CCOc2ccc(Cl)cc21,> 99.5,,,0.896,2.1,Weak
MAT-POS-9db1e783-3,[H][C@]1(C(=O)N(C(=O)/C=C/C(=O)OC)c2cncc3ccccc23)CCOc2ccc(Cl)cc21,4.36,3.81,4.98,1.08,1.1,Quant
MAT-POS-9ff17035-2,O=C(Cc1cc(Cl)cc(Oc2cccc(=O)[nH]2)c1)Nc1cncc2ccccc12,1.98,1.87,2.09,0.996,1.1,Quant
MAT-POS-9ff17035-3,O=C(Cc1cc(Cl)cc(Oc2cccnc2)c1)Nc1cncc2ccccc12,1.14,1.08,1.20,1.04,1.1,Quant
MAT-POS-a13804f0-2,[H][C@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21,> 99.5,,,0.424,2.3,Weak
MAT-POS-a13804f0-3,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21,0.143,0.137,0.149,1.04,1.1,Quant
MAT-POS-a3f7f96a-3,COC(=O)c1cc(C=c2sc(=C(C#N)C(=O)NC(C)C)n(-c3ccc(OC)c(F)c3)c2=O)oc1C,> 99.5,,,,,Weak
MAT-POS-a3f7f96a-5,COC(=O)c1cc(C=c2sc(=C(C#N)C#N)n(-c3cccc(C(F)(F)F)c3)c2=O)oc1C,> 99.5,,,,,Weak
MAT-POS-a54ce14d-2,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21,0.0197,0.0190,0.0205,1.03,2.1,Quant
MAT-POS-a54ce14d-3,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21,1.52,1.40,1.65,1.15,1.1,Quant
MAT-POS-afd4d4fd-2,O=C(Cc1cccc(Cl)n1)Nc1cncc2ccccc12,40.7,37.3,44.3,1.08,2.1,Quant
MAT-POS-b3e365b9-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,0.255,0.240,0.270,1.13,1.1,Quant
MAT-POS-b3e365b9-2,[H][C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,> 49.8,,,0.919,2.3,Weak
MAT-POS-b3e365b9-3,[H][C@@]1(C(=O)Nc2cnccc2C)CCOc2ccc(Cl)cc21,4.95,4.70,5.21,1.11,1.1,Quant
MAT-POS-b3e365b9-4,[H][C@]1(C(=O)Nc2cnccc2C)CCOc2ccc(Cl)cc21,> 99.5,,,1.54,3.0,Weak
MAT-POS-bb423b95-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2cnccc12,7.94,6.70,9.42,0.965,1.1,Quant
MAT-POS-bb423b95-2,O=C(Cc1cccc(Cl)c1)Nc1cncc2cccnc12,7.02,6.58,7.48,0.983,1.1,Quant
MAT-POS-bb423b95-5,CC(C)c1ccncc1NC(=O)Cc1cccc(Cl)c1,19.5,18.0,21.2,1.15,2.1,Quant
MAT-POS-bb423b95-6,"ClC1=CC=CC(CC(=O)NC2=CNC(=O)C3=CC=CC=C23)=C1 |c:3,17,22,t:1,10,15,19|",> 99.5,,,,,Weak
MAT-POS-bb423b95-7,CN(C(=O)Cc1cccc(Cl)c1)c1cncc2ccccc12,34.4,32.5,36.3,1.17,2.1,Quant
MAT-POS-bb423b95-9,O=C(Cc1cccc(Cl)c1)Nc1cncc2c(Cl)cccc12,> 99.5,,,0.0339,2.3,Weak
MAT-POS-bbbbc21a-3,O=C(Cc1cc(Cl)cc2c1OCC2)Nc1cncc2ccccc12,1.13,0.962,1.32,0.854,1.1,Quant
MAT-POS-bf364d7a-10,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CCOCC2)Cc2ccc(Cl)cc21,15.2,13.4,17.4,1.21,1.1,Quant
MAT-POS-bf364d7a-6,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC(C)(C)C#N)Cc2ccc(Cl)cc21,13.2,11.7,14.9,1.14,1.1,Quant
MAT-POS-bf364d7a-7,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(OC)CC2)Cc2ccc(Cl)cc21,18.5,16.7,20.4,1.14,1.1,Quant
MAT-POS-bf364d7a-8,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(OC)CC2)Cc2ccc(Cl)cc21,0.0802,0.0635,0.101,0.981,1.1,Quant
MAT-POS-bf364d7a-9,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CCOCC2)Cc2ccc(Cl)cc21,0.0875,0.0664,0.115,1.03,1.1,Quant
MAT-POS-bfb445d4-2,O=C(Cc1cccc(Cl)c1)Nn1nnc2ccccc21,5.80,4.66,7.23,1.36,1.1,Quant
MAT-POS-c0609ef7-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(C(F)F)ccc12,2.25,1.64,3.07,0.977,1.1,Quant
MAT-POS-c20a539d-1,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,8.63,6.15,12.1,0.684,2.1,Quant
MAT-POS-c20a539d-2,COc1cc2cncc(NC(=O)Cc3cccc(Cl)c3)c2cc1OC,> 99.5,,,0.777,2.3,Weak
MAT-POS-c20a539d-4,CC(C)(O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,2.91,2.59,3.26,1.11,1.1,Quant
